ski_area,state_full,lat,long,website,year_opened,remove
Middlebury College Snow Bowl,Vermont,43.9399184,-72.95752283,www.middleburysnowbowl.com,1936,
Mission Ridge Ski & Board Resort,Washington,47.2930624,-120.3999354,www.missionridge.com,1966,
Mohawk Mountain Ski Area,Connecticut,41.83885448,-73.31542338,www.mohawkmtn.com,1947,
Monarch Mountain,Colorado,38.51261757,-106.3319504,www.skimonarch.com,1939,
Mont Du Lac Resort,Wisconsin,46.65219044,-92.28431394,www.mdlresort.com,1948,
Mont Ripley Ski Area,Michigan,47.12847196,-88.56006726,www.skimontripley.com,1933,
Montage Mountain,Pennsylvania,41.35183888,-75.66293836,www.montagemountainresorts.com,1984,
Montana Snowbowl,Montana,47.01503583,-113.9995465,www.montanasnowbowl.com,1961,
Mount Bohemia,Michigan,47.38852651,-88.02092498,www.mtbohemia.com,2000,
Mount Kato Ski Area,Minnesota,44.13375842,-94.03333424,www.mountkato.com,1977,
Mount Lakeridge Ski & Board Center,Connecticut,44.02831778,-79.06299123,http://lakeridgect.com/skiing,1975,
Mount Peter,New York,41.24299758,-74.29057728,www.mtpeter.com,1936,
Mount Pleasant of Edinboro,Pennsylvania,41.85158038,-80.07035137,www.skimountpleasant.com,1971,
Mount Snow Resort,Vermont,42.96868536,-72.89452317,www.mountsnow.com,1954,
Mount Southington Ski Area,Connecticut,41.58296457,-72.92465447,www.mountsouthington.com,1964,
Mount Sunapee Resort,New Hampshire,43.33252893,-72.08003271,www.mountsunapee.com,1948,
Mountain Creek Resort,New Jersey,41.19091746,-74.50525795,www.mountaincreek.com,1965,
Mountain High Resort,California,34.37763248,-117.6914169,www.mthigh.com,1924,
Mt. Abram Ski Area,Maine,44.38042508,-70.70680053,www.mtabram.com,1960,
Mt. Ashland,Oregon,42.08233795,-122.7047755,www.mtashland.com,1964,
Mt. Bachelor LLC,Oregon,44.00302873,-121.6790553,www.mtbachelor.com,1958,
Mt. Baker Ski Area,Washington,48.85787043,-121.6665975,www.mtbaker.us,1953,
Mt. Baldy Ski Lifts,California,34.27080983,-117.621846,www.mtbaldyresort.com,1952,
Mt. Brighton Ski Area,Michigan,42.54141496,-83.81158607,www.mtbrighton.com,1960,
Mt. Crescent Ski Area,Iowa,41.39550617,-95.86061488,www.skicrescent.com,1961,
Mt. Eyak Ski Area,Alaska,60.55043375,-145.7499717,www.mteyak.org,1974,
Mt. Holiday,Michigan,44.74211877,-85.51455343,www.mt-holiday.com,1949,
"Mt. Holly Ski Resort, Inc.",Michigan,42.83150821,-83.56428257,www.skimtholly.com,1956,
Mt. Hood Meadows,Oregon,45.33240384,-121.6651633,www.skihood.com,1968,
Mt. Hood Skibowl,Oregon,45.30314599,-121.7731673,www.skibowl.com,1927,
Mt. La Crosse,Wisconsin,43.74419767,-91.1825666,www.mtlacrosse.com,1959,
Mt. Lemmon Ski Valley,Arizona,32.44824242,-110.7815594,www.skithelemmon.com,1945,
Mt. Rose - Ski Tahoe,Nevada,39.32904913,-119.8853535,www.skirose.com,1964,
Mt. Shasta Ski Park,California,41.32173449,-122.2035664,www.skipark.com,1985,
Mt. Ski Gull,Minnesota,46.4481705,-94.37793714,www.mountskigull.com,1962,
Mt. Spokane Ski & Snowboard Park,Washington,47.92191405,-117.0962229,www.mtspokane.com,1938,
"Mt. Waterman Ski Lift, LLC",California,34.34999781,-117.9288111,www.mtwaterman.org,1942,
Mt. Zion,Michigan,46.47475182,-90.16299604,www.gogebic.edu/why-gcc/mt-zion.php,1937,
Nashoba Valley Ski Area,Massachusetts,42.54331964,-71.4450189,www.skinashoba.com,1964,
Nordic Mountain,Wisconsin,44.12211996,-89.1811313,https://www.nordicmountain.com/,1987,
"Nordic Valley Recreation, LP",Utah,41.31095176,-111.8649129,www.nordicvalley.com,1970,
Northstar California,California,39.27528206,-120.1209861,www.northstarcalifornia.com,1972,
Nub's Nob Ski Area,Michigan,45.47218393,-84.90470621,www.nubsnob.com,1958,
Oak Mountain,New York,43.51467565,-74.36067423,www.oakmountainski.com,1948,
Ober Gatlinburg Ski Area,Tennessee,35.70378581,-83.55819703,www.obergatlinburg.com,1962,
Oglebay Resort,West Virginia,40.10102478,-80.66170686,www.oglebay-resort.com,1952,
Okemo Mountain Resort,Vermont,43.40316644,-72.71699868,www.okemo.com,1956,
Otis Ridge,Massachusetts,42.19694529,-73.09835476,www.otisridge.com,1946,
Otsego Resort,Michigan,45.02835488,-84.65522681,www.otsegoresort.com,1939,
Pajarito Mountain Ski Area,New Mexico,35.89572411,-106.3904787,www.pajarito.ski,1944,
"Paoli Peaks, Inc.",Indiana,38.55597274,-86.51220904,www.paolipeaks.com,1978,
Park City Mountain Resort,Utah,40.65202224,-111.5078874,www.parkcitymountain.com,1963,
Pats Peak,New Hampshire,43.1646463,-71.79733773,www.patspeak.com,1963,
Payette Lakes Ski Club,Idaho,44.93035564,-116.1624838,www.littleskihill.org,1937,
Pebble Creek Ski Area,Idaho,42.77926583,-112.1592583,www.pebblecreekskiarea.com,1949,
Peek'n Peak Resort,New York,42.06307893,-79.73526115,www.pknpk.com,1964,
Perfect North Slopes,Indiana,39.14823962,-84.8855799,www.perfectnorth.com,1981,
Pico Mountain,Vermont,43.66348486,-72.84246908,www.picomountain.com,1934,
Pine Creek Ski Resort,Wyoming,42.10370847,-110.828824,www.pinecreekskiresort.com,1952,
Pine Mountain Ski Resort,Michigan,45.8397655,-88.08867303,www.pinemountainresort.com,1939,
Plymouth Notch,Vermont,43.53678287,-72.7468831,www.skithenotch.com,2001,
Pocono Ranch Lands Property Owners,Pennsylvania,41.16622899,-74.95491651,www.poconoranchlands.com,1974,
Pomerelle Mountain Resort,Idaho,42.31866934,-113.6077738,www.pomerelle.com,1963,
Powder Mountain,Utah,41.38186109,-111.7807708,www.powdermountain.com,1972,
Powder Ridge Mountain Park & Resort,Connecticut,41.50236817,-72.73643284,www.PowderRidgePark.com,1959,
Powder Ridge Ski Area,Minnesota,45.3443415,-94.30503605,www.powderridge.com,1962,
Powderhorn Mountain Resort,Colorado,39.07002381,-108.1505609,www.powderhorn.com,1966,
Powers Bluff Park - Wood County Parks and Forestry Department,Wisconsin,44.52578845,-90.06657957,http://www.co.wood.wi.us/Departments/Parks/,1945,
Proctor Ski Area,New Hampshire,43.43212221,-71.82081813,www.proctornet.com,1969,
Purgatory Resort,Colorado,37.63145236,-107.8139425,www.purgatoryresort.com,1965,
Quechee Ski Area,Vermont,43.65651875,-72.4420669,www.quecheeclub.com,1971,
Ragged Mountain Resort,New Hampshire,43.48610661,-71.84226434,www.raggedmountainresort.com,1964,
Red Lodge Mountain,Montana,45.19145835,-109.3363525,www.redlodgemountain.com,1960,
Red River Ski & Summer Area,New Mexico,36.70702022,-105.412823,www.redriverskiarea.com,1959,
"Rotarun Ski Club, Inc.",Idaho,43.49801688,-114.3649095,www.rotarun.org,1959,
Roundtop Mountain Resort,Pennsylvania,40.1101891,-76.92752774,www.skiroundtop.com,1964,
Royal Gorge Cross Country Ski Resort,California,39.31410727,-120.3890196,www.royalgorge.com,1971,
Saddleback Maine,Maine,44.94665772,-70.52727452,www.saddlebackmaine.com,1960,
Sandia Peak Ski Area,New Mexico,35.20796738,-106.4132496,www.sandiapeak.com,1937,
Sapphire Valley Ski Area,North Carolina,35.12472426,-83.05871264,www.Skisapphirevalley.com,1966,
Schweitzer,Idaho,48.36850314,-116.6224652,www.schweitzer.com,1963,
Seven Oaks Recreation,Iowa,42.03128842,-93.95335914,www.sevenoaksrec.com,1997,
Seven Springs Mountain Resort,Pennsylvania,40.02368337,-79.29759591,www.7springs.com,1932,
Shanty Creek Resort,Michigan,44.94028,-85.13298,www.shantycreek.com,1963,
Shawnee Mountain Ski Area,Pennsylvania,41.04056688,-75.08519763,www.shawneemt.com,1975,
Shawnee Peak Ski Area,Maine,44.05895122,-70.81505181,www.shawneepeak.com,1938,
Showdown Montana,Montana,46.83896191,-110.7004194,www.showdownmontana.com,1936,
Sierra-at-Tahoe,California,38.80122983,-120.0805545,www.sierraattahoe.com,1968,
Silver Mountain Ski and Year Round Waterpark Resort!,Idaho,47.54134087,-116.1331495,www.silvermt.com,1968,
Silverton Mountain,Colorado,37.88530235,-107.6658975,www.silvertonmountain.com,2001,
Sipapu Ski & Summer Resort,New Mexico,36.1548735,-105.5478741,www.sipapu.ski,1952,
Ski Apache Resort,New Mexico,33.39802666,-105.7887375,www.skiapache.com,1961,
Ski Big Bear at Masthope Mountain,Pennsylvania,41.52398272,-75.02482657,www.ski-bigbear.com,1976,
Ski Brule,Michigan,46.030288,-88.70120634,www.skibrule.com,1956,
Ski Butternut,Massachusetts,42.1843427,-73.31985355,www.skibutternut.com,1963,
